id,title,property_type,price_eur,city,neighborhood,lat,lon,size_sqm,rooms,year_built,floor,max_floor,parking,heating,dist_to_metro_min,dist_to_park_min,description,source_url
11,House 3 camere Titan,house,85680,Bucuresti,Titan,44.41283698588855,26.060684845255757,72,3.0,1984.0,,,yes,central,4,7,"Proprietate in zona Titan, suprafata 72 mp, pret 85680 EUR.",https://example.com/listing/11
12,House 2 camere Colentina,house,106818,Bucuresti,Colentina,44.435421345253374,26.194097132355555,114,2.0,1999.0,,,no,termoficare,10,7,"Proprietate in zona Colentina, suprafata 114 mp, pret 106818 EUR.",https://example.com/listing/12
13,Apartment 1 camere Dorobanti,apartment,53572,Bucuresti,Dorobanti,44.43424211439408,26.075112287459245,59,1.0,1984.0,0.0,10.0,yes,termoficare,11,10,"Proprietate in zona Dorobanti, suprafata 59 mp, pret 53572 EUR.",https://example.com/listing/13
14,House 3 camere Titan,house,156851,Bucuresti,Titan,44.414200399274364,26.103125471055993,109,3.0,2003.0,,,yes,electrica,16,13,"Proprietate in zona Titan, suprafata 109 mp, pret 156851 EUR.",https://example.com/listing/14
15,House 4 camere Colentina,house,104880,Bucuresti,Colentina,44.43432339636293,26.16572414811859,60,4.0,2007.0,,,yes,electrica,20,4,"Proprietate in zona Colentina, suprafata 60 mp, pret 104880 EUR.",https://example.com/listing/15
16,House 2 camere Dristor,house,39517,Bucuresti,Dristor,44.444489445771985,26.150833266976893,43,2.0,2015.0,,,yes,gaz,7,6,"Proprietate in zona Dristor, suprafata 43 mp, pret 39517 EUR.",https://example.com/listing/16
17,House 3 camere Pipera,house,60536,Bucuresti,Pipera,44.408450262184715,26.139196183745803,46,3.0,1995.0,,,no,termoficare,19,13,"Proprietate in zona Pipera, suprafata 46 mp, pret 60536 EUR.",https://example.com/listing/17
18,House 3 camere Drumul Taberei,house,156844,Bucuresti,Drumul Taberei,44.43974725926302,26.092196782964056,113,3.0,1975.0,,,yes,gaz,4,7,"Proprietate in zona Drumul Taberei, suprafata 113 mp, pret 156844 EUR.",https://example.com/listing/18
19,Apartment 4 camere Berceni,apartment,82272,Bucuresti,Berceni,44.40941527558193,26.071605856544938,48,4.0,1960.0,3.0,10.0,yes,termoficare,3,13,"Proprietate in zona Berceni, suprafata 48 mp, pret 82272 EUR.",https://example.com/listing/19
20,Apartment 1 camere Dristor,apartment,123882,Bucuresti,Dristor,44.437027271327146,26.167401501884985,66,1.0,1979.0,6.0,10.0,no,electrica,16,11,"Proprietate in zona Dristor, suprafata 66 mp, pret 123882 EUR.",https://example.com/listing/20
21,Land  camere Titan,land,834452,Bucuresti,Titan,44.41596521919488,26.176972119167758,908,,,,,yes,,8,6,"Proprietate in zona Titan, suprafata 908 mp, pret 834452 EUR.",https://example.com/listing/21
22,House 4 camere Pipera,house,71004,Bucuresti,Pipera,44.44348368162274,26.096179807061375,61,4.0,1986.0,,,yes,termoficare,19,7,"Proprietate in zona Pipera, suprafata 61 mp, pret 71004 EUR.",https://example.com/listing/22
23,House 3 camere Militari,house,153456,Bucuresti,Militari,44.43874573253453,26.16523735164477,92,3.0,2016.0,,,no,termoficare,5,8,"Proprietate in zona Militari, suprafata 92 mp, pret 153456 EUR.",https://example.com/listing/23
24,Apartment 2 camere Dristor,apartment,88608,Bucuresti,Dristor,44.43530498508232,26.172629154411176,52,2.0,1991.0,5.0,10.0,yes,termoficare,5,12,"Proprietate in zona Dristor, suprafata 52 mp, pret 88608 EUR.",https://example.com/listing/24
25,Apartment 3 camere Dorobanti,apartment,87162,Bucuresti,Dorobanti,44.4394786098752,26.109694535704907,73,3.0,1991.0,7.0,10.0,no,central,19,5,"Proprietate in zona Dorobanti, suprafata 73 mp, pret 87162 EUR.",https://example.com/listing/25
26,Apartment 3 camere Titan,apartment,206451,Bucuresti,Titan,44.404175226992805,26.06459568536658,113,3.0,1973.0,3.0,10.0,no,central,8,4,"Proprietate in zona Titan, suprafata 113 mp, pret 206451 EUR.",https://example.com/listing/26
27,House 4 camere Drumul Taberei,house,145238,Bucuresti,Drumul Taberei,44.43223660505894,26.115461265003134,101,4.0,2003.0,,,no,termoficare,6,6,"Proprietate in zona Drumul Taberei, suprafata 101 mp, pret 145238 EUR.",https://example.com/listing/27
28,Apartment 3 camere Colentina,apartment,91884,Bucuresti,Colentina,44.410774100338934,26.091242578851098,93,3.0,1962.0,3.0,10.0,no,termoficare,13,15,"Proprietate in zona Colentina, suprafata 93 mp, pret 91884 EUR.",https://example.com/listing/28
29,Apartment 1 camere Militari,apartment,193550,Bucuresti,Militari,44.43142900868958,26.11712043152822,98,1.0,1981.0,2.0,10.0,yes,central,13,11,"Proprietate in zona Militari, suprafata 98 mp, pret 193550 EUR.",https://example.com/listing/29
30,Apartment 4 camere Dorobanti,apartment,147896,Bucuresti,Dorobanti,44.41449499295327,26.166675021666034,76,4.0,2017.0,3.0,10.0,no,termoficare,6,3,"Proprietate in zona Dorobanti, suprafata 76 mp, pret 147896 EUR.",https://example.com/listing/30
31,Apartment 2 camere Titan,apartment,79305,Bucuresti,Titan,44.42428148371122,26.18790054538931,85,2.0,1982.0,2.0,10.0,no,gaz,12,4,"Proprietate in zona Titan, suprafata 85 mp, pret 79305 EUR.",https://example.com/listing/31
32,House 4 camere Militari,house,202950,Bucuresti,Militari,44.420514927075864,26.160740992684005,110,4.0,1998.0,,,yes,gaz,8,9,"Proprietate in zona Militari, suprafata 110 mp, pret 202950 EUR.",https://example.com/listing/32
33,Land  camere Dristor,land,605172,Bucuresti,Dristor,44.41431722086952,26.111002920864493,564,,,,,yes,,11,10,"Proprietate in zona Dristor, suprafata 564 mp, pret 605172 EUR.",https://example.com/listing/33
34,Apartment 1 camere Drumul Taberei,apartment,39360,Bucuresti,Drumul Taberei,44.413952349031206,26.095548463693504,41,1.0,1979.0,8.0,10.0,yes,central,6,4,"Proprietate in zona Drumul Taberei, suprafata 41 mp, pret 39360 EUR.",https://example.com/listing/34
35,Land  camere Dorobanti,land,662605,Bucuresti,Dorobanti,44.424188632700364,26.182237871639547,445,,,,,yes,,7,13,"Proprietate in zona Dorobanti, suprafata 445 mp, pret 662605 EUR.",https://example.com/listing/35
36,House 3 camere Dorobanti,house,217269,Bucuresti,Dorobanti,44.418449770900125,26.09262837032891,117,3.0,2003.0,,,yes,gaz,18,8,"Proprietate in zona Dorobanti, suprafata 117 mp, pret 217269 EUR.",https://example.com/listing/36
37,Apartment 3 camere Drumul Taberei,apartment,149845,Bucuresti,Drumul Taberei,44.41139299523028,26.150894750690657,115,3.0,1980.0,4.0,10.0,no,electrica,18,12,"Proprietate in zona Drumul Taberei, suprafata 115 mp, pret 149845 EUR.",https://example.com/listing/37
38,Land  camere Titan,land,412870,Bucuresti,Titan,44.41539656878242,26.137446809635833,410,,,,,yes,,15,14,"Proprietate in zona Titan, suprafata 410 mp, pret 412870 EUR.",https://example.com/listing/38
39,Apartment 2 camere Pipera,apartment,76183,Bucuresti,Pipera,44.41056022815232,26.06650860570744,71,2.0,2007.0,6.0,10.0,no,central,8,3,"Proprietate in zona Pipera, suprafata 71 mp, pret 76183 EUR.",https://example.com/listing/39
40,House 2 camere Militari,house,150345,Bucuresti,Militari,44.4170278326668,26.16789514489007,117,2.0,1987.0,,,yes,termoficare,6,12,"Proprietate in zona Militari, suprafata 117 mp, pret 150345 EUR.",https://example.com/listing/40
41,Land  camere Berceni,land,907200,Bucuresti,Berceni,44.40025808346302,26.065473688221417,675,,,,,no,,20,2,"Proprietate in zona Berceni, suprafata 675 mp, pret 907200 EUR.",https://example.com/listing/41
42,Apartment 3 camere Dorobanti,apartment,168120,Bucuresti,Dorobanti,44.40402705827233,26.058832734130313,90,3.0,2004.0,10.0,10.0,yes,gaz,19,3,"Proprietate in zona Dorobanti, suprafata 90 mp, pret 168120 EUR.",https://example.com/listing/42
43,House 3 camere Berceni,house,171397,Bucuresti,Berceni,44.41199850376699,26.052137748801776,101,3.0,1995.0,,,no,termoficare,16,8,"Proprietate in zona Berceni, suprafata 101 mp, pret 171397 EUR.",https://example.com/listing/43
44,Apartment 1 camere Pipera,apartment,148603,Bucuresti,Pipera,44.42453180139503,26.15213961736794,91,1.0,1977.0,4.0,10.0,yes,central,19,8,"Proprietate in zona Pipera, suprafata 91 mp, pret 148603 EUR.",https://example.com/listing/44
45,Land  camere Militari,land,407400,Bucuresti,Militari,44.43410697278164,26.199240762783436,420,,,,,yes,,19,8,"Proprietate in zona Militari, suprafata 420 mp, pret 407400 EUR.",https://example.com/listing/45
46,Land  camere Pipera,land,894672,Bucuresti,Pipera,44.44604359582606,26.17201824899524,684,,,,,yes,,16,14,"Proprietate in zona Pipera, suprafata 684 mp, pret 894672 EUR.",https://example.com/listing/46
47,Land  camere Titan,land,560211,Bucuresti,Titan,44.434779464887264,26.108038758699134,353,,,,,yes,,8,5,"Proprietate in zona Titan, suprafata 353 mp, pret 560211 EUR.",https://example.com/listing/47
48,Land  camere Dorobanti,land,371943,Bucuresti,Dorobanti,44.41160239626876,26.15569813650773,289,,,,,yes,,16,13,"Proprietate in zona Dorobanti, suprafata 289 mp, pret 371943 EUR.",https://example.com/listing/48
49,House 1 camere Militari,house,100252,Bucuresti,Militari,44.412744375397196,26.096983612018853,71,1.0,1975.0,,,no,central,19,12,"Proprietate in zona Militari, suprafata 71 mp, pret 100252 EUR.",https://example.com/listing/49
50,House 2 camere Dristor,house,99440,Bucuresti,Dristor,44.44104994611014,26.178192044045876,88,2.0,1980.0,,,no,termoficare,13,11,"Proprietate in zona Dristor, suprafata 88 mp, pret 99440 EUR.",https://example.com/listing/50
51,Land  camere Pipera,land,314796,Bucuresti,Pipera,44.445442623331,26.186399667096016,222,,,,,no,,3,4,"Proprietate in zona Pipera, suprafata 222 mp, pret 314796 EUR.",https://example.com/listing/51
52,Apartment 2 camere Dorobanti,apartment,199410,Bucuresti,Dorobanti,44.41688287329676,26.179264036160422,115,2.0,1997.0,2.0,10.0,yes,termoficare,9,4,"Proprietate in zona Dorobanti, suprafata 115 mp, pret 199410 EUR.",https://example.com/listing/52
53,Apartment 1 camere Colentina,apartment,144300,Bucuresti,Colentina,44.44353895183319,26.136955689873542,111,1.0,1984.0,0.0,10.0,yes,electrica,12,9,"Proprietate in zona Colentina, suprafata 111 mp, pret 144300 EUR.",https://example.com/listing/53
54,Apartment 2 camere Militari,apartment,155103,Bucuresti,Militari,44.40881025990418,26.14988730061139,97,2.0,1966.0,4.0,10.0,yes,gaz,5,14,"Proprietate in zona Militari, suprafata 97 mp, pret 155103 EUR.",https://example.com/listing/54
55,Apartment 3 camere Pipera,apartment,71400,Bucuresti,Pipera,44.40397634117118,26.129317540693393,60,3.0,2012.0,8.0,10.0,no,electrica,5,14,"Proprietate in zona Pipera, suprafata 60 mp, pret 71400 EUR.",https://example.com/listing/55
56,Land  camere Pipera,land,352758,Bucuresti,Pipera,44.42782180333916,26.179841556696726,222,,,,,yes,,11,9,"Proprietate in zona Pipera, suprafata 222 mp, pret 352758 EUR.",https://example.com/listing/56
57,Land  camere Dristor,land,623700,Bucuresti,Dristor,44.4203878631458,26.162926718318385,693,,,,,yes,,18,9,"Proprietate in zona Dristor, suprafata 693 mp, pret 623700 EUR.",https://example.com/listing/57
58,Land  camere Colentina,land,256360,Bucuresti,Colentina,44.44392419808872,26.0711579262985,232,,,,,yes,,20,8,"Proprietate in zona Colentina, suprafata 232 mp, pret 256360 EUR.",https://example.com/listing/58
59,Apartment 3 camere Colentina,apartment,91584,Bucuresti,Colentina,44.41278721857421,26.116473992717683,72,3.0,1980.0,0.0,10.0,no,gaz,17,13,"Proprietate in zona Colentina, suprafata 72 mp, pret 91584 EUR.",https://example.com/listing/59
60,House 1 camere Dristor,house,101152,Bucuresti,Dristor,44.42819466507312,26.083902006112808,109,1.0,1986.0,,,no,electrica,5,4,"Proprietate in zona Dristor, suprafata 109 mp, pret 101152 EUR.",https://example.com/listing/60
61,Land  camere Berceni,land,293710,Bucuresti,Berceni,44.44003499546171,26.089467952716728,230,,,,,yes,,5,12,"Proprietate in zona Berceni, suprafata 230 mp, pret 293710 EUR.",https://example.com/listing/61
62,House 4 camere Dorobanti,house,78540,Bucuresti,Dorobanti,44.40744942109532,26.053273040607706,68,4.0,1966.0,,,no,electrica,9,4,"Proprietate in zona Dorobanti, suprafata 68 mp, pret 78540 EUR.",https://example.com/listing/62
63,Land  camere Pipera,land,878964,Bucuresti,Pipera,44.429865800869834,26.192213863099504,534,,,,,no,,16,10,"Proprietate in zona Pipera, suprafata 534 mp, pret 878964 EUR.",https://example.com/listing/63
64,Apartment 3 camere Dristor,apartment,48870,Bucuresti,Dristor,44.44103998734438,26.165308136849866,45,3.0,1978.0,9.0,10.0,no,electrica,9,14,"Proprietate in zona Dristor, suprafata 45 mp, pret 48870 EUR.",https://example.com/listing/64
65,Apartment 3 camere Titan,apartment,75639,Bucuresti,Titan,44.415858805247666,26.05369954295794,57,3.0,1988.0,9.0,10.0,yes,central,18,13,"Proprietate in zona Titan, suprafata 57 mp, pret 75639 EUR.",https://example.com/listing/65
66,Apartment 4 camere Drumul Taberei,apartment,162735,Bucuresti,Drumul Taberei,44.40004478967802,26.077973969946683,95,4.0,1981.0,10.0,10.0,yes,electrica,4,6,"Proprietate in zona Drumul Taberei, suprafata 95 mp, pret 162735 EUR.",https://example.com/listing/66
67,Land  camere Dorobanti,land,582825,Bucuresti,Dorobanti,44.40471576911712,26.1200908650366,475,,,,,no,,14,4,"Proprietate in zona Dorobanti, suprafata 475 mp, pret 582825 EUR.",https://example.com/listing/67
68,House 1 camere Titan,house,121540,Bucuresti,Titan,44.43857788576669,26.082598870647917,118,1.0,2020.0,,,no,termoficare,17,13,"Proprietate in zona Titan, suprafata 118 mp, pret 121540 EUR.",https://example.com/listing/68
69,Land  camere Colentina,land,716900,Bucuresti,Colentina,44.43222773670732,26.146030559996237,535,,,,,no,,17,13,"Proprietate in zona Colentina, suprafata 535 mp, pret 716900 EUR.",https://example.com/listing/69
70,House 4 camere Colentina,house,84134,Bucuresti,Colentina,44.431759851937755,26.12570348975458,59,4.0,1980.0,,,no,central,4,4,"Proprietate in zona Colentina, suprafata 59 mp, pret 84134 EUR.",https://example.com/listing/70
71,Land  camere Dristor,land,325385,Bucuresti,Dristor,44.442287890620456,26.055864679273505,295,,,,,yes,,19,3,"Proprietate in zona Dristor, suprafata 295 mp, pret 325385 EUR.",https://example.com/listing/71
72,House 3 camere Colentina,house,95172,Bucuresti,Colentina,44.449143441419544,26.16515335057797,103,3.0,2009.0,,,no,gaz,6,11,"Proprietate in zona Colentina, suprafata 103 mp, pret 95172 EUR.",https://example.com/listing/72
73,Apartment 2 camere Dristor,apartment,99102,Bucuresti,Dristor,44.40245307690193,26.14520911749789,83,2.0,1974.0,2.0,10.0,no,termoficare,11,11,"Proprietate in zona Dristor, suprafata 83 mp, pret 99102 EUR.",https://example.com/listing/73
74,House 2 camere Dristor,house,92004,Bucuresti,Dristor,44.40971106378307,26.154941514311755,66,2.0,1988.0,,,no,central,16,2,"Proprietate in zona Dristor, suprafata 66 mp, pret 92004 EUR.",https://example.com/listing/74
75,Apartment 4 camere Pipera,apartment,151146,Bucuresti,Pipera,44.4314840318908,26.164042598768003,81,4.0,1986.0,5.0,10.0,yes,gaz,10,4,"Proprietate in zona Pipera, suprafata 81 mp, pret 151146 EUR.",https://example.com/listing/75
76,Apartment 4 camere Pipera,apartment,86574,Bucuresti,Pipera,44.4126361540756,26.059624257783888,47,4.0,2010.0,1.0,10.0,yes,termoficare,8,9,"Proprietate in zona Pipera, suprafata 47 mp, pret 86574 EUR.",https://example.com/listing/76
77,Apartment 1 camere Pipera,apartment,57673,Bucuresti,Pipera,44.411255511626365,26.055624351347728,49,1.0,2021.0,10.0,10.0,no,central,12,5,"Proprietate in zona Pipera, suprafata 49 mp, pret 57673 EUR.",https://example.com/listing/77
78,Apartment 1 camere Dristor,apartment,166692,Bucuresti,Dristor,44.428535567913954,26.140783522086945,116,1.0,2022.0,3.0,10.0,no,gaz,19,11,"Proprietate in zona Dristor, suprafata 116 mp, pret 166692 EUR.",https://example.com/listing/78
79,House 2 camere Berceni,house,71530,Bucuresti,Berceni,44.43847009968385,26.183910488338984,46,2.0,2012.0,,,yes,termoficare,11,9,"Proprietate in zona Berceni, suprafata 46 mp, pret 71530 EUR.",https://example.com/listing/79
80,Apartment 2 camere Drumul Taberei,apartment,82208,Bucuresti,Drumul Taberei,44.42627837672367,26.064379431112325,56,2.0,1998.0,8.0,10.0,yes,central,20,14,"Proprietate in zona Drumul Taberei, suprafata 56 mp, pret 82208 EUR.",https://example.com/listing/80
81,Land  camere Colentina,land,681904,Bucuresti,Colentina,44.44079663205042,26.134817656763083,391,,,,,yes,,15,3,"Proprietate in zona Colentina, suprafata 391 mp, pret 681904 EUR.",https://example.com/listing/81
82,Apartment 1 camere Pipera,apartment,81480,Bucuresti,Pipera,44.42733288342863,26.12884726658414,84,1.0,1980.0,8.0,10.0,no,termoficare,6,8,"Proprietate in zona Pipera, suprafata 84 mp, pret 81480 EUR.",https://example.com/listing/82
83,House 2 camere Drumul Taberei,house,54431,Bucuresti,Drumul Taberei,44.42666035977528,26.057830910609542,53,2.0,2015.0,,,yes,electrica,4,6,"Proprietate in zona Drumul Taberei, suprafata 53 mp, pret 54431 EUR.",https://example.com/listing/83
84,Land  camere Drumul Taberei,land,428868,Bucuresti,Drumul Taberei,44.42268690445552,26.182849181819233,418,,,,,no,,18,4,"Proprietate in zona Drumul Taberei, suprafata 418 mp, pret 428868 EUR.",https://example.com/listing/84
85,Land  camere Colentina,land,674610,Bucuresti,Colentina,44.40193819422546,26.175860130460975,678,,,,,yes,,14,3,"Proprietate in zona Colentina, suprafata 678 mp, pret 674610 EUR.",https://example.com/listing/85
86,Land  camere Drumul Taberei,land,970536,Bucuresti,Drumul Taberei,44.41532842188045,26.108235996816635,872,,,,,yes,,17,5,"Proprietate in zona Drumul Taberei, suprafata 872 mp, pret 970536 EUR.",https://example.com/listing/86
87,Land  camere Dristor,land,595200,Bucuresti,Dristor,44.42577035291627,26.19468225713807,384,,,,,yes,,8,5,"Proprietate in zona Dristor, suprafata 384 mp, pret 595200 EUR.",https://example.com/listing/87
88,Land  camere Militari,land,787584,Bucuresti,Militari,44.41802653964399,26.123320751990292,672,,,,,no,,17,13,"Proprietate in zona Militari, suprafata 672 mp, pret 787584 EUR.",https://example.com/listing/88
89,Apartment 2 camere Dristor,apartment,174528,Bucuresti,Dristor,44.44896844922925,26.166430539244665,108,2.0,1984.0,10.0,10.0,no,central,6,12,"Proprietate in zona Dristor, suprafata 108 mp, pret 174528 EUR.",https://example.com/listing/89
90,House 3 camere Drumul Taberei,house,75350,Bucuresti,Drumul Taberei,44.42395865935347,26.137527693160376,55,3.0,1973.0,,,yes,gaz,20,10,"Proprietate in zona Drumul Taberei, suprafata 55 mp, pret 75350 EUR.",https://example.com/listing/90
91,Land  camere Dorobanti,land,846027,Bucuresti,Dorobanti,44.433589106285204,26.071033976964376,819,,,,,no,,6,2,"Proprietate in zona Dorobanti, suprafata 819 mp, pret 846027 EUR.",https://example.com/listing/91
92,Land  camere Dristor,land,1162965,Bucuresti,Dristor,44.42321801694007,26.146497612218177,915,,,,,yes,,12,4,"Proprietate in zona Dristor, suprafata 915 mp, pret 1162965 EUR.",https://example.com/listing/92
93,House 1 camere Titan,house,103958,Bucuresti,Titan,44.43276171443506,26.142068849992658,59,1.0,1964.0,,,no,electrica,11,5,"Proprietate in zona Titan, suprafata 59 mp, pret 103958 EUR.",https://example.com/listing/93
94,Apartment 1 camere Colentina,apartment,76765,Bucuresti,Colentina,44.4033344888282,26.05665117402494,65,1.0,1979.0,4.0,10.0,no,electrica,4,3,"Proprietate in zona Colentina, suprafata 65 mp, pret 76765 EUR.",https://example.com/listing/94
95,Land  camere Drumul Taberei,land,849684,Bucuresti,Drumul Taberei,44.40790001628688,26.172695645474978,492,,,,,yes,,3,4,"Proprietate in zona Drumul Taberei, suprafata 492 mp, pret 849684 EUR.",https://example.com/listing/95
96,House 4 camere Pipera,house,173621,Bucuresti,Pipera,44.40901450045774,26.198153851272128,119,4.0,2001.0,,,yes,electrica,3,4,"Proprietate in zona Pipera, suprafata 119 mp, pret 173621 EUR.",https://example.com/listing/96
97,Land  camere Pipera,land,279815,Bucuresti,Pipera,44.40098649951981,26.085725989424873,293,,,,,yes,,19,6,"Proprietate in zona Pipera, suprafata 293 mp, pret 279815 EUR.",https://example.com/listing/97
98,Land  camere Drumul Taberei,land,799136,Bucuresti,Drumul Taberei,44.438521620549686,26.05345502391131,442,,,,,yes,,8,3,"Proprietate in zona Drumul Taberei, suprafata 442 mp, pret 799136 EUR.",https://example.com/listing/98
99,Apartment 4 camere Dorobanti,apartment,78804,Bucuresti,Dorobanti,44.42361874601246,26.150241171072135,44,4.0,1978.0,0.0,10.0,no,central,18,7,"Proprietate in zona Dorobanti, suprafata 44 mp, pret 78804 EUR.",https://example.com/listing/99
100,House 3 camere Colentina,house,84105,Bucuresti,Colentina,44.41236919733978,26.106696133065142,89,3.0,1968.0,,,no,central,10,13,"Proprietate in zona Colentina, suprafata 89 mp, pret 84105 EUR.",https://example.com/listing/100
101,House 2 camere Titan,house,179296,Bucuresti,Titan,44.44819188401288,26.06529294853405,104,2.0,2018.0,,,yes,central,6,4,"Proprietate in zona Titan, suprafata 104 mp, pret 179296 EUR.",https://example.com/listing/101
102,Land  camere Militari,land,679914,Bucuresti,Militari,44.41084981607292,26.124870622015216,486,,,,,yes,,16,9,"Proprietate in zona Militari, suprafata 486 mp, pret 679914 EUR.",https://example.com/listing/102
103,Land  camere Dristor,land,747198,Bucuresti,Dristor,44.43238412368321,26.126219721676662,411,,,,,no,,16,5,"Proprietate in zona Dristor, suprafata 411 mp, pret 747198 EUR.",https://example.com/listing/103
104,House 2 camere Dorobanti,house,130188,Bucuresti,Dorobanti,44.43017573625255,26.09602731767272,114,2.0,1997.0,,,yes,termoficare,8,2,"Proprietate in zona Dorobanti, suprafata 114 mp, pret 130188 EUR.",https://example.com/listing/104
105,Land  camere Militari,land,1846842,Bucuresti,Militari,44.433560014558914,26.088672167441377,951,,,,,no,,19,14,"Proprietate in zona Militari, suprafata 951 mp, pret 1846842 EUR.",https://example.com/listing/105
106,House 4 camere Dorobanti,house,102060,Bucuresti,Dorobanti,44.44990335745374,26.081797115799382,70,4.0,2008.0,,,no,central,12,10,"Proprietate in zona Dorobanti, suprafata 70 mp, pret 102060 EUR.",https://example.com/listing/106
107,Apartment 1 camere Dorobanti,apartment,97276,Bucuresti,Dorobanti,44.44499835720979,26.180050236678454,83,1.0,2008.0,0.0,10.0,no,termoficare,10,5,"Proprietate in zona Dorobanti, suprafata 83 mp, pret 97276 EUR.",https://example.com/listing/107
108,Land  camere Drumul Taberei,land,318708,Bucuresti,Drumul Taberei,44.4227951940945,26.052915062121958,234,,,,,no,,10,13,"Proprietate in zona Drumul Taberei, suprafata 234 mp, pret 318708 EUR.",https://example.com/listing/108
109,House 3 camere Pipera,house,41958,Bucuresti,Pipera,44.41027594110821,26.055364420583885,42,3.0,1992.0,,,no,termoficare,20,9,"Proprietate in zona Pipera, suprafata 42 mp, pret 41958 EUR.",https://example.com/listing/109
110,Apartment 3 camere Pipera,apartment,118944,Bucuresti,Pipera,44.43586045361425,26.18855195990179,84,3.0,1985.0,0.0,10.0,yes,termoficare,20,5,"Proprietate in zona Pipera, suprafata 84 mp, pret 118944 EUR.",https://example.com/listing/110
111,Land  camere Militari,land,1164338,Bucuresti,Militari,44.41277753136796,26.124087392685535,763,,,,,yes,,10,10,"Proprietate in zona Militari, suprafata 763 mp, pret 1164338 EUR.",https://example.com/listing/111
112,Apartment 1 camere Militari,apartment,174681,Bucuresti,Militari,44.401768398441654,26.131538549783446,117,1.0,1987.0,10.0,10.0,no,gaz,13,14,"Proprietate in zona Militari, suprafata 117 mp, pret 174681 EUR.",https://example.com/listing/112
113,Apartment 3 camere Militari,apartment,115522,Bucuresti,Militari,44.431454807930805,26.188450635730685,89,3.0,2018.0,0.0,10.0,no,termoficare,5,8,"Proprietate in zona Militari, suprafata 89 mp, pret 115522 EUR.",https://example.com/listing/113
114,Land  camere Berceni,land,919700,Bucuresti,Berceni,44.44667583417595,26.12897487606176,850,,,,,yes,,12,9,"Proprietate in zona Berceni, suprafata 850 mp, pret 919700 EUR.",https://example.com/listing/114
115,Apartment 1 camere Titan,apartment,72028,Bucuresti,Titan,44.42348383636108,26.102915190254187,44,1.0,2016.0,8.0,10.0,yes,central,9,4,"Proprietate in zona Titan, suprafata 44 mp, pret 72028 EUR.",https://example.com/listing/115
116,House 3 camere Drumul Taberei,house,173236,Bucuresti,Drumul Taberei,44.4075742265285,26.108947135359017,92,3.0,2002.0,,,yes,gaz,15,7,"Proprietate in zona Drumul Taberei, suprafata 92 mp, pret 173236 EUR.",https://example.com/listing/116
117,House 2 camere Titan,house,111858,Bucuresti,Titan,44.40091297248567,26.11060424767374,103,2.0,2019.0,,,yes,central,8,9,"Proprietate in zona Titan, suprafata 103 mp, pret 111858 EUR.",https://example.com/listing/117
