id,title,property_type,price_eur,city,neighborhood,lat,lon,size_sqm,rooms,year_built,floor,max_floor,parking,heating,dist_to_metro_min,dist_to_park_min,description,source_url,price_per_sqm,age,is_new_build,distance_score,text_for_embedding
12,House 2 camere Colentina,house,106818,Bucuresti,Colentina,44.435421345253374,26.194097132355555,114,2.0,1999.0,,,no,termoficare,10,7,"Proprietate in zona Colentina, suprafata 114 mp, pret 106818 EUR.",https://example.com/listing/12,937.0,26.0,0,9.2,"house in Colentina, Bucuresti, 114 mp, 2.0 camere, construit in 1999.0. Detalii: Proprietate in zona Colentina, suprafata 114 mp, pret 106818 EUR."
13,Apartment 1 camere Dorobanti,apartment,53572,Bucuresti,Dorobanti,44.43424211439408,26.075112287459245,59,1.0,1984.0,0.0,10.0,yes,termoficare,11,10,"Proprietate in zona Dorobanti, suprafata 59 mp, pret 53572 EUR.",https://example.com/listing/13,908.0,41.0,0,7.3999999999999995,"apartment in Dorobanti, Bucuresti, 59 mp, 1.0 camere, construit in 1984.0. Detalii: Proprietate in zona Dorobanti, suprafata 59 mp, pret 53572 EUR."
14,House 3 camere Titan,house,156851,Bucuresti,Titan,44.41420039927437,26.103125471055996,109,3.0,2003.0,,,yes,electrica,16,13,"Proprietate in zona Titan, suprafata 109 mp, pret 156851 EUR.",https://example.com/listing/14,1439.0,22.0,0,3.2,"house in Titan, Bucuresti, 109 mp, 3.0 camere, construit in 2003.0. Detalii: Proprietate in zona Titan, suprafata 109 mp, pret 156851 EUR."
15,House 4 camere Colentina,house,104880,Bucuresti,Colentina,44.43432339636293,26.16572414811859,60,4.0,2007.0,,,yes,electrica,20,4,"Proprietate in zona Colentina, suprafata 60 mp, pret 104880 EUR.",https://example.com/listing/15,1748.0,18.0,0,4.4,"house in Colentina, Bucuresti, 60 mp, 4.0 camere, construit in 2007.0. Detalii: Proprietate in zona Colentina, suprafata 60 mp, pret 104880 EUR."
16,House 2 camere Dristor,house,39517,Bucuresti,Dristor,44.44448944577199,26.150833266976893,43,2.0,2015.0,,,yes,gaz,7,6,"Proprietate in zona Dristor, suprafata 43 mp, pret 39517 EUR.",https://example.com/listing/16,919.0,10.0,1,11.4,"house in Dristor, Bucuresti, 43 mp, 2.0 camere, construit in 2015.0. Detalii: Proprietate in zona Dristor, suprafata 43 mp, pret 39517 EUR."
17,House 3 camere Pipera,house,60536,Bucuresti,Pipera,44.40845026218472,26.139196183745803,46,3.0,1995.0,,,no,termoficare,19,13,"Proprietate in zona Pipera, suprafata 46 mp, pret 60536 EUR.",https://example.com/listing/17,1316.0,30.0,0,1.4,"house in Pipera, Bucuresti, 46 mp, 3.0 camere, construit in 1995.0. Detalii: Proprietate in zona Pipera, suprafata 46 mp, pret 60536 EUR."
18,House 3 camere Drumul Taberei,house,156844,Bucuresti,Drumul Taberei,44.43974725926302,26.092196782964056,113,3.0,1975.0,,,yes,gaz,4,7,"Proprietate in zona Drumul Taberei, suprafata 113 mp, pret 156844 EUR.",https://example.com/listing/18,1388.0,50.0,0,12.8,"house in Drumul Taberei, Bucuresti, 113 mp, 3.0 camere, construit in 1975.0. Detalii: Proprietate in zona Drumul Taberei, suprafata 113 mp, pret 156844 EUR."
19,Apartment 4 camere Berceni,apartment,82272,Bucuresti,Berceni,44.40941527558193,26.071605856544934,48,4.0,1960.0,3.0,10.0,yes,termoficare,3,13,"Proprietate in zona Berceni, suprafata 48 mp, pret 82272 EUR.",https://example.com/listing/19,1714.0,65.0,0,11.0,"apartment in Berceni, Bucuresti, 48 mp, 4.0 camere, construit in 1960.0. Detalii: Proprietate in zona Berceni, suprafata 48 mp, pret 82272 EUR."
20,Apartment 1 camere Dristor,apartment,123882,Bucuresti,Dristor,44.437027271327146,26.167401501884985,66,1.0,1979.0,6.0,10.0,no,electrica,16,11,"Proprietate in zona Dristor, suprafata 66 mp, pret 123882 EUR.",https://example.com/listing/20,1877.0,46.0,0,4.0,"apartment in Dristor, Bucuresti, 66 mp, 1.0 camere, construit in 1979.0. Detalii: Proprietate in zona Dristor, suprafata 66 mp, pret 123882 EUR."
21,Land  camere Titan,land,834452,Bucuresti,Titan,44.41596521919488,26.17697211916776,908,,,,,yes,,8,6,"Proprietate in zona Titan, suprafata 908 mp, pret 834452 EUR.",https://example.com/listing/21,919.0,,0,10.799999999999999,"land in Titan, Bucuresti, 908 mp, nan camere, construit in nan. Detalii: Proprietate in zona Titan, suprafata 908 mp, pret 834452 EUR."
22,House 4 camere Pipera,house,71004,Bucuresti,Pipera,44.44348368162274,26.09617980706137,61,4.0,1986.0,,,yes,termoficare,19,7,"Proprietate in zona Pipera, suprafata 61 mp, pret 71004 EUR.",https://example.com/listing/22,1164.0,39.0,0,3.8000000000000003,"house in Pipera, Bucuresti, 61 mp, 4.0 camere, construit in 1986.0. Detalii: Proprietate in zona Pipera, suprafata 61 mp, pret 71004 EUR."
23,House 3 camere Militari,house,153456,Bucuresti,Militari,44.43874573253453,26.16523735164477,92,3.0,2016.0,,,no,termoficare,5,8,"Proprietate in zona Militari, suprafata 92 mp, pret 153456 EUR.",https://example.com/listing/23,1668.0,9.0,1,11.8,"house in Militari, Bucuresti, 92 mp, 3.0 camere, construit in 2016.0. Detalii: Proprietate in zona Militari, suprafata 92 mp, pret 153456 EUR."
24,Apartment 2 camere Dristor,apartment,88608,Bucuresti,Dristor,44.43530498508232,26.172629154411176,52,2.0,1991.0,5.0,10.0,yes,termoficare,5,12,"Proprietate in zona Dristor, suprafata 52 mp, pret 88608 EUR.",https://example.com/listing/24,1704.0,34.0,0,10.2,"apartment in Dristor, Bucuresti, 52 mp, 2.0 camere, construit in 1991.0. Detalii: Proprietate in zona Dristor, suprafata 52 mp, pret 88608 EUR."
25,Apartment 3 camere Dorobanti,apartment,87162,Bucuresti,Dorobanti,44.4394786098752,26.109694535704907,73,3.0,1991.0,7.0,10.0,no,central,19,5,"Proprietate in zona Dorobanti, suprafata 73 mp, pret 87162 EUR.",https://example.com/listing/25,1194.0,34.0,0,4.6,"apartment in Dorobanti, Bucuresti, 73 mp, 3.0 camere, construit in 1991.0. Detalii: Proprietate in zona Dorobanti, suprafata 73 mp, pret 87162 EUR."
26,Apartment 3 camere Titan,apartment,206451,Bucuresti,Titan,44.404175226992805,26.06459568536658,113,3.0,1973.0,3.0,10.0,no,central,8,4,"Proprietate in zona Titan, suprafata 113 mp, pret 206451 EUR.",https://example.com/listing/26,1827.0,52.0,0,11.6,"apartment in Titan, Bucuresti, 113 mp, 3.0 camere, construit in 1973.0. Detalii: Proprietate in zona Titan, suprafata 113 mp, pret 206451 EUR."
27,House 4 camere Drumul Taberei,house,145238,Bucuresti,Drumul Taberei,44.43223660505894,26.11546126500313,101,4.0,2003.0,,,no,termoficare,6,6,"Proprietate in zona Drumul Taberei, suprafata 101 mp, pret 145238 EUR.",https://example.com/listing/27,1438.0,22.0,0,12.0,"house in Drumul Taberei, Bucuresti, 101 mp, 4.0 camere, construit in 2003.0. Detalii: Proprietate in zona Drumul Taberei, suprafata 101 mp, pret 145238 EUR."
28,Apartment 3 camere Colentina,apartment,91884,Bucuresti,Colentina,44.41077410033893,26.091242578851094,93,3.0,1962.0,3.0,10.0,no,termoficare,13,15,"Proprietate in zona Colentina, suprafata 93 mp, pret 91884 EUR.",https://example.com/listing/28,988.0,63.0,0,4.2,"apartment in Colentina, Bucuresti, 93 mp, 3.0 camere, construit in 1962.0. Detalii: Proprietate in zona Colentina, suprafata 93 mp, pret 91884 EUR."
29,Apartment 1 camere Militari,apartment,193550,Bucuresti,Militari,44.43142900868958,26.11712043152822,98,1.0,1981.0,2.0,10.0,yes,central,13,11,"Proprietate in zona Militari, suprafata 98 mp, pret 193550 EUR.",https://example.com/listing/29,1975.0,44.0,0,5.800000000000001,"apartment in Militari, Bucuresti, 98 mp, 1.0 camere, construit in 1981.0. Detalii: Proprietate in zona Militari, suprafata 98 mp, pret 193550 EUR."
30,Apartment 4 camere Dorobanti,apartment,147896,Bucuresti,Dorobanti,44.41449499295327,26.166675021666038,76,4.0,2017.0,3.0,10.0,no,termoficare,6,3,"Proprietate in zona Dorobanti, suprafata 76 mp, pret 147896 EUR.",https://example.com/listing/30,1946.0,8.0,1,13.200000000000001,"apartment in Dorobanti, Bucuresti, 76 mp, 4.0 camere, construit in 2017.0. Detalii: Proprietate in zona Dorobanti, suprafata 76 mp, pret 147896 EUR."
31,Apartment 2 camere Titan,apartment,79305,Bucuresti,Titan,44.42428148371122,26.18790054538931,85,2.0,1982.0,2.0,10.0,no,gaz,12,4,"Proprietate in zona Titan, suprafata 85 mp, pret 79305 EUR.",https://example.com/listing/31,933.0,43.0,0,9.2,"apartment in Titan, Bucuresti, 85 mp, 2.0 camere, construit in 1982.0. Detalii: Proprietate in zona Titan, suprafata 85 mp, pret 79305 EUR."
32,House 4 camere Militari,house,202950,Bucuresti,Militari,44.42051492707586,26.160740992684005,110,4.0,1998.0,,,yes,gaz,8,9,"Proprietate in zona Militari, suprafata 110 mp, pret 202950 EUR.",https://example.com/listing/32,1845.0,27.0,0,9.6,"house in Militari, Bucuresti, 110 mp, 4.0 camere, construit in 1998.0. Detalii: Proprietate in zona Militari, suprafata 110 mp, pret 202950 EUR."
33,Land  camere Dristor,land,605172,Bucuresti,Dristor,44.41431722086952,26.111002920864493,564,,,,,yes,,11,10,"Proprietate in zona Dristor, suprafata 564 mp, pret 605172 EUR.",https://example.com/listing/33,1073.0,,0,7.3999999999999995,"land in Dristor, Bucuresti, 564 mp, nan camere, construit in nan. Detalii: Proprietate in zona Dristor, suprafata 564 mp, pret 605172 EUR."
34,Apartment 1 camere Drumul Taberei,apartment,39360,Bucuresti,Drumul Taberei,44.413952349031206,26.095548463693504,41,1.0,1979.0,8.0,10.0,yes,central,6,4,"Proprietate in zona Drumul Taberei, suprafata 41 mp, pret 39360 EUR.",https://example.com/listing/34,960.0,46.0,0,12.8,"apartment in Drumul Taberei, Bucuresti, 41 mp, 1.0 camere, construit in 1979.0. Detalii: Proprietate in zona Drumul Taberei, suprafata 41 mp, pret 39360 EUR."
35,Land  camere Dorobanti,land,662605,Bucuresti,Dorobanti,44.42418863270037,26.182237871639547,445,,,,,yes,,7,13,"Proprietate in zona Dorobanti, suprafata 445 mp, pret 662605 EUR.",https://example.com/listing/35,1489.0,,0,8.6,"land in Dorobanti, Bucuresti, 445 mp, nan camere, construit in nan. Detalii: Proprietate in zona Dorobanti, suprafata 445 mp, pret 662605 EUR."
36,House 3 camere Dorobanti,house,217269,Bucuresti,Dorobanti,44.418449770900125,26.09262837032891,117,3.0,2003.0,,,yes,gaz,18,8,"Proprietate in zona Dorobanti, suprafata 117 mp, pret 217269 EUR.",https://example.com/listing/36,1857.0,22.0,0,4.0,"house in Dorobanti, Bucuresti, 117 mp, 3.0 camere, construit in 2003.0. Detalii: Proprietate in zona Dorobanti, suprafata 117 mp, pret 217269 EUR."
37,Apartment 3 camere Drumul Taberei,apartment,149845,Bucuresti,Drumul Taberei,44.41139299523028,26.150894750690657,115,3.0,1980.0,4.0,10.0,no,electrica,18,12,"Proprietate in zona Drumul Taberei, suprafata 115 mp, pret 149845 EUR.",https://example.com/listing/37,1303.0,45.0,0,2.4000000000000004,"apartment in Drumul Taberei, Bucuresti, 115 mp, 3.0 camere, construit in 1980.0. Detalii: Proprietate in zona Drumul Taberei, suprafata 115 mp, pret 149845 EUR."
38,Land  camere Titan,land,412870,Bucuresti,Titan,44.41539656878242,26.137446809635836,410,,,,,yes,,15,14,"Proprietate in zona Titan, suprafata 410 mp, pret 412870 EUR.",https://example.com/listing/38,1007.0,,0,3.4,"land in Titan, Bucuresti, 410 mp, nan camere, construit in nan. Detalii: Proprietate in zona Titan, suprafata 410 mp, pret 412870 EUR."
39,Apartment 2 camere Pipera,apartment,76183,Bucuresti,Pipera,44.41056022815232,26.06650860570744,71,2.0,2007.0,6.0,10.0,no,central,8,3,"Proprietate in zona Pipera, suprafata 71 mp, pret 76183 EUR.",https://example.com/listing/39,1073.0,18.0,0,12.0,"apartment in Pipera, Bucuresti, 71 mp, 2.0 camere, construit in 2007.0. Detalii: Proprietate in zona Pipera, suprafata 71 mp, pret 76183 EUR."
40,House 2 camere Militari,house,150345,Bucuresti,Militari,44.4170278326668,26.16789514489007,117,2.0,1987.0,,,yes,termoficare,6,12,"Proprietate in zona Militari, suprafata 117 mp, pret 150345 EUR.",https://example.com/listing/40,1285.0,38.0,0,9.600000000000001,"house in Militari, Bucuresti, 117 mp, 2.0 camere, construit in 1987.0. Detalii: Proprietate in zona Militari, suprafata 117 mp, pret 150345 EUR."
41,Land  camere Berceni,land,907200,Bucuresti,Berceni,44.40025808346302,26.065473688221417,675,,,,,no,,20,2,"Proprietate in zona Berceni, suprafata 675 mp, pret 907200 EUR.",https://example.com/listing/41,1344.0,,0,5.2,"land in Berceni, Bucuresti, 675 mp, nan camere, construit in nan. Detalii: Proprietate in zona Berceni, suprafata 675 mp, pret 907200 EUR."
42,Apartment 3 camere Dorobanti,apartment,168120,Bucuresti,Dorobanti,44.40402705827233,26.058832734130316,90,3.0,2004.0,10.0,10.0,yes,gaz,19,3,"Proprietate in zona Dorobanti, suprafata 90 mp, pret 168120 EUR.",https://example.com/listing/42,1868.0,21.0,0,5.4,"apartment in Dorobanti, Bucuresti, 90 mp, 3.0 camere, construit in 2004.0. Detalii: Proprietate in zona Dorobanti, suprafata 90 mp, pret 168120 EUR."
43,House 3 camere Berceni,house,171397,Bucuresti,Berceni,44.41199850376699,26.052137748801776,101,3.0,1995.0,,,no,termoficare,16,8,"Proprietate in zona Berceni, suprafata 101 mp, pret 171397 EUR.",https://example.com/listing/43,1697.0,30.0,0,5.2,"house in Berceni, Bucuresti, 101 mp, 3.0 camere, construit in 1995.0. Detalii: Proprietate in zona Berceni, suprafata 101 mp, pret 171397 EUR."
44,Apartment 1 camere Pipera,apartment,148603,Bucuresti,Pipera,44.42453180139503,26.15213961736794,91,1.0,1977.0,4.0,10.0,yes,central,19,8,"Proprietate in zona Pipera, suprafata 91 mp, pret 148603 EUR.",https://example.com/listing/44,1633.0,48.0,0,3.4000000000000004,"apartment in Pipera, Bucuresti, 91 mp, 1.0 camere, construit in 1977.0. Detalii: Proprietate in zona Pipera, suprafata 91 mp, pret 148603 EUR."
45,Land  camere Militari,land,407400,Bucuresti,Militari,44.43410697278164,26.19924076278344,420,,,,,yes,,19,8,"Proprietate in zona Militari, suprafata 420 mp, pret 407400 EUR.",https://example.com/listing/45,970.0,,0,3.4000000000000004,"land in Militari, Bucuresti, 420 mp, nan camere, construit in nan. Detalii: Proprietate in zona Militari, suprafata 420 mp, pret 407400 EUR."
46,Land  camere Pipera,land,894672,Bucuresti,Pipera,44.44604359582606,26.17201824899524,684,,,,,yes,,16,14,"Proprietate in zona Pipera, suprafata 684 mp, pret 894672 EUR.",https://example.com/listing/46,1308.0,,0,2.8,"land in Pipera, Bucuresti, 684 mp, nan camere, construit in nan. Detalii: Proprietate in zona Pipera, suprafata 684 mp, pret 894672 EUR."
47,Land  camere Titan,land,560211,Bucuresti,Titan,44.434779464887264,26.10803875869913,353,,,,,yes,,8,5,"Proprietate in zona Titan, suprafata 353 mp, pret 560211 EUR.",https://example.com/listing/47,1587.0,,0,11.2,"land in Titan, Bucuresti, 353 mp, nan camere, construit in nan. Detalii: Proprietate in zona Titan, suprafata 353 mp, pret 560211 EUR."
48,Land  camere Dorobanti,land,371943,Bucuresti,Dorobanti,44.41160239626876,26.15569813650773,289,,,,,yes,,16,13,"Proprietate in zona Dorobanti, suprafata 289 mp, pret 371943 EUR.",https://example.com/listing/48,1287.0,,0,3.2,"land in Dorobanti, Bucuresti, 289 mp, nan camere, construit in nan. Detalii: Proprietate in zona Dorobanti, suprafata 289 mp, pret 371943 EUR."
49,House 1 camere Militari,house,100252,Bucuresti,Militari,44.4127443753972,26.096983612018853,71,1.0,1975.0,,,no,central,19,12,"Proprietate in zona Militari, suprafata 71 mp, pret 100252 EUR.",https://example.com/listing/49,1412.0,50.0,0,1.8000000000000003,"house in Militari, Bucuresti, 71 mp, 1.0 camere, construit in 1975.0. Detalii: Proprietate in zona Militari, suprafata 71 mp, pret 100252 EUR."
50,House 2 camere Dristor,house,99440,Bucuresti,Dristor,44.44104994611014,26.17819204404588,88,2.0,1980.0,,,no,termoficare,13,11,"Proprietate in zona Dristor, suprafata 88 mp, pret 99440 EUR.",https://example.com/listing/50,1130.0,45.0,0,5.800000000000001,"house in Dristor, Bucuresti, 88 mp, 2.0 camere, construit in 1980.0. Detalii: Proprietate in zona Dristor, suprafata 88 mp, pret 99440 EUR."
51,Land  camere Pipera,land,314796,Bucuresti,Pipera,44.445442623331,26.186399667096016,222,,,,,no,,3,4,"Proprietate in zona Pipera, suprafata 222 mp, pret 314796 EUR.",https://example.com/listing/51,1418.0,,0,14.6,"land in Pipera, Bucuresti, 222 mp, nan camere, construit in nan. Detalii: Proprietate in zona Pipera, suprafata 222 mp, pret 314796 EUR."
52,Apartment 2 camere Dorobanti,apartment,199410,Bucuresti,Dorobanti,44.41688287329676,26.179264036160426,115,2.0,1997.0,2.0,10.0,yes,termoficare,9,4,"Proprietate in zona Dorobanti, suprafata 115 mp, pret 199410 EUR.",https://example.com/listing/52,1734.0,28.0,0,11.0,"apartment in Dorobanti, Bucuresti, 115 mp, 2.0 camere, construit in 1997.0. Detalii: Proprietate in zona Dorobanti, suprafata 115 mp, pret 199410 EUR."
53,Apartment 1 camere Colentina,apartment,144300,Bucuresti,Colentina,44.44353895183319,26.136955689873545,111,1.0,1984.0,0.0,10.0,yes,electrica,12,9,"Proprietate in zona Colentina, suprafata 111 mp, pret 144300 EUR.",https://example.com/listing/53,1300.0,41.0,0,7.2,"apartment in Colentina, Bucuresti, 111 mp, 1.0 camere, construit in 1984.0. Detalii: Proprietate in zona Colentina, suprafata 111 mp, pret 144300 EUR."
54,Apartment 2 camere Militari,apartment,155103,Bucuresti,Militari,44.40881025990418,26.14988730061139,97,2.0,1966.0,4.0,10.0,yes,gaz,5,14,"Proprietate in zona Militari, suprafata 97 mp, pret 155103 EUR.",https://example.com/listing/54,1599.0,59.0,0,9.4,"apartment in Militari, Bucuresti, 97 mp, 2.0 camere, construit in 1966.0. Detalii: Proprietate in zona Militari, suprafata 97 mp, pret 155103 EUR."
55,Apartment 3 camere Pipera,apartment,71400,Bucuresti,Pipera,44.40397634117118,26.129317540693396,60,3.0,2012.0,8.0,10.0,no,electrica,5,14,"Proprietate in zona Pipera, suprafata 60 mp, pret 71400 EUR.",https://example.com/listing/55,1190.0,13.0,0,9.4,"apartment in Pipera, Bucuresti, 60 mp, 3.0 camere, construit in 2012.0. Detalii: Proprietate in zona Pipera, suprafata 60 mp, pret 71400 EUR."
56,Land  camere Pipera,land,352758,Bucuresti,Pipera,44.42782180333916,26.17984155669673,222,,,,,yes,,11,9,"Proprietate in zona Pipera, suprafata 222 mp, pret 352758 EUR.",https://example.com/listing/56,1589.0,,0,7.8,"land in Pipera, Bucuresti, 222 mp, nan camere, construit in nan. Detalii: Proprietate in zona Pipera, suprafata 222 mp, pret 352758 EUR."
57,Land  camere Dristor,land,623700,Bucuresti,Dristor,44.4203878631458,26.162926718318385,693,,,,,yes,,18,9,"Proprietate in zona Dristor, suprafata 693 mp, pret 623700 EUR.",https://example.com/listing/57,900.0,,0,3.6000000000000005,"land in Dristor, Bucuresti, 693 mp, nan camere, construit in nan. Detalii: Proprietate in zona Dristor, suprafata 693 mp, pret 623700 EUR."
58,Land  camere Colentina,land,256360,Bucuresti,Colentina,44.44392419808872,26.0711579262985,232,,,,,yes,,20,8,"Proprietate in zona Colentina, suprafata 232 mp, pret 256360 EUR.",https://example.com/listing/58,1105.0,,0,2.8000000000000003,"land in Colentina, Bucuresti, 232 mp, nan camere, construit in nan. Detalii: Proprietate in zona Colentina, suprafata 232 mp, pret 256360 EUR."
59,Apartment 3 camere Colentina,apartment,91584,Bucuresti,Colentina,44.41278721857421,26.116473992717683,72,3.0,1980.0,0.0,10.0,no,gaz,17,13,"Proprietate in zona Colentina, suprafata 72 mp, pret 91584 EUR.",https://example.com/listing/59,1272.0,45.0,0,2.5999999999999996,"apartment in Colentina, Bucuresti, 72 mp, 3.0 camere, construit in 1980.0. Detalii: Proprietate in zona Colentina, suprafata 72 mp, pret 91584 EUR."
60,House 1 camere Dristor,house,101152,Bucuresti,Dristor,44.42819466507312,26.083902006112808,109,1.0,1986.0,,,no,electrica,5,4,"Proprietate in zona Dristor, suprafata 109 mp, pret 101152 EUR.",https://example.com/listing/60,928.0,39.0,0,13.4,"house in Dristor, Bucuresti, 109 mp, 1.0 camere, construit in 1986.0. Detalii: Proprietate in zona Dristor, suprafata 109 mp, pret 101152 EUR."
61,Land  camere Berceni,land,293710,Bucuresti,Berceni,44.44003499546171,26.089467952716728,230,,,,,yes,,5,12,"Proprietate in zona Berceni, suprafata 230 mp, pret 293710 EUR.",https://example.com/listing/61,1277.0,,0,10.2,"land in Berceni, Bucuresti, 230 mp, nan camere, construit in nan. Detalii: Proprietate in zona Berceni, suprafata 230 mp, pret 293710 EUR."
62,House 4 camere Dorobanti,house,78540,Bucuresti,Dorobanti,44.40744942109532,26.053273040607703,68,4.0,1966.0,,,no,electrica,9,4,"Proprietate in zona Dorobanti, suprafata 68 mp, pret 78540 EUR.",https://example.com/listing/62,1155.0,59.0,0,11.0,"house in Dorobanti, Bucuresti, 68 mp, 4.0 camere, construit in 1966.0. Detalii: Proprietate in zona Dorobanti, suprafata 68 mp, pret 78540 EUR."
63,Land  camere Pipera,land,878964,Bucuresti,Pipera,44.42986580086984,26.192213863099504,534,,,,,no,,16,10,"Proprietate in zona Pipera, suprafata 534 mp, pret 878964 EUR.",https://example.com/listing/63,1646.0,,0,4.4,"land in Pipera, Bucuresti, 534 mp, nan camere, construit in nan. Detalii: Proprietate in zona Pipera, suprafata 534 mp, pret 878964 EUR."
64,Apartment 3 camere Dristor,apartment,48870,Bucuresti,Dristor,44.44103998734438,26.165308136849863,45,3.0,1978.0,9.0,10.0,no,electrica,9,14,"Proprietate in zona Dristor, suprafata 45 mp, pret 48870 EUR.",https://example.com/listing/64,1086.0,47.0,0,7.0,"apartment in Dristor, Bucuresti, 45 mp, 3.0 camere, construit in 1978.0. Detalii: Proprietate in zona Dristor, suprafata 45 mp, pret 48870 EUR."
65,Apartment 3 camere Titan,apartment,75639,Bucuresti,Titan,44.41585880524767,26.05369954295794,57,3.0,1988.0,9.0,10.0,yes,central,18,13,"Proprietate in zona Titan, suprafata 57 mp, pret 75639 EUR.",https://example.com/listing/65,1327.0,37.0,0,2.0,"apartment in Titan, Bucuresti, 57 mp, 3.0 camere, construit in 1988.0. Detalii: Proprietate in zona Titan, suprafata 57 mp, pret 75639 EUR."
